Codigo,Nome,Tipo,Codigo_Pai,Nome_Pai
0,Brasil,País,,
1,Norte,Região,0,Brasil
2,Nordeste,Região,0,Brasil
3,Sudeste,Região,0,Brasil
4,Sul,Região,0,Brasil
5,Centro-Oeste,Região,0,Brasil
11,Rondônia,Estado,1,Norte
12,Acre,Estado,1,Norte
13,Amazonas,Estado,1,Norte
14,Roraima,Estado,1,Norte
15,Pará,Estado,1,Norte
16,Amapá,Estado,1,Norte
17,Tocantins,Estado,1,Norte
21,Maranhão,Estado,2,Nordeste
22,Piauí,Estado,2,Nordeste
23,Ceará,Estado,2,Nordeste
24,Rio Grande do Norte,Estado,2,Nordeste
25,Paraíba,Estado,2,Nordeste
26,Pernambuco,Estado,2,Nordeste
27,Alagoas,Estado,2,Nordeste
28,Sergipe,Estado,2,Nordeste
29,Bahia,Estado,2,Nordeste
31,Minas Gerais,Estado,3,Sudeste
32,Espírito Santo,Estado,3,Sudeste
33,Rio de Janeiro,Estado,3,Sudeste
35,São Paulo,Estado,3,Sudeste
41,Paraná,Estado,4,Sul
42,Santa Catarina,Estado,4,Sul
43,Rio Grande do Sul,Estado,4,Sul
50,Mato Grosso do Sul,Estado,5,Centro-Oeste
51,Mato Grosso,Estado,5,Centro-Oeste
52,Goiás,Estado,5,Centro-Oeste
53,Distrito Federal,Estado,5,Centro-Oeste
1102,Leste Rondoniense,Mesorregião,11,Rondônia
1101,Madeira-Guaporé,Mesorregião,11,Rondônia
1202,Vale do Acre,Mesorregião,12,Acre
1201,Vale do Juruá,Mesorregião,12,Acre
1303,Centro Amazonense,Mesorregião,13,Amazonas
1302,Sudoeste Amazonense,Mesorregião,13,Amazonas
1304,Sul Amazonense,Mesorregião,13,Amazonas
1301,Norte Amazonense,Mesorregião,13,Amazonas
1401,Norte de Roraima,Mesorregião,14,Roraima
1402,Sul de Roraima,Mesorregião,14,Roraima
1504,Nordeste Paraense,Mesorregião,15,Pará
1506,Sudeste Paraense,Mesorregião,15,Pará
1502,Marajó,Mesorregião,15,Pará
1501,Baixo Amazonas,Mesorregião,15,Pará
1505,Sudoeste Paraense,Mesorregião,15,Pará
1503,Metropolitana de Belém,Mesorregião,15,Pará
1602,Sul do Amapá,Mesorregião,16,Amapá
1601,Norte do Amapá,Mesorregião,16,Amapá
1701,Ocidental do Tocantins,Mesorregião,17,Tocantins
1702,Oriental do Tocantins,Mesorregião,17,Tocantins
2102,Oeste Maranhense,Mesorregião,21,Maranhão
2104,Leste Maranhense,Mesorregião,21,Maranhão
2101,Norte Maranhense,Mesorregião,21,Maranhão
2105,Sul Maranhense,Mesorregião,21,Maranhão
2103,Centro Maranhense,Mesorregião,21,Maranhão
2204,Sudeste Piauiense,Mesorregião,22,Piauí
2202,Centro-Norte Piauiense,Mesorregião,22,Piauí
2203,Sudoeste Piauiense,Mesorregião,22,Piauí
2201,Norte Piauiense,Mesorregião,22,Piauí
2307,Sul Cearense,Mesorregião,23,Ceará
2302,Norte Cearense,Mesorregião,23,Ceará
2301,Noroeste Cearense,Mesorregião,23,Ceará
2304,Sertões Cearenses,Mesorregião,23,Ceará
2305,Jaguaribe,Mesorregião,23,Ceará
2306,Centro-Sul Cearense,Mesorregião,23,Ceará
2303,Metropolitana de Fortaleza,Mesorregião,23,Ceará
2402,Central Potiguar,Mesorregião,24,Rio Grande do Norte
2401,Oeste Potiguar,Mesorregião,24,Rio Grande do Norte
2404,Leste Potiguar,Mesorregião,24,Rio Grande do Norte
2403,Agreste Potiguar,Mesorregião,24,Rio Grande do Norte
2501,Sertão Paraibano,Mesorregião,25,Paraíba
2503,Agreste Paraibano,Mesorregião,25,Paraíba
2502,Borborema,Mesorregião,25,Paraíba
2504,Mata Paraibana,Mesorregião,25,Paraíba
2605,Metropolitana de Recife,Mesorregião,26,Pernambuco
2601,Sertão Pernambucano,Mesorregião,26,Pernambuco
2602,São Francisco Pernambucano,Mesorregião,26,Pernambuco
2603,Agreste Pernambucano,Mesorregião,26,Pernambuco
2604,Mata Pernambucana,Mesorregião,26,Pernambuco
2701,Sertão Alagoano,Mesorregião,27,Alagoas
2703,Leste Alagoano,Mesorregião,27,Alagoas
2702,Agreste Alagoano,Mesorregião,27,Alagoas
2803,Leste Sergipano,Mesorregião,28,Sergipe
2802,Agreste Sergipano,Mesorregião,28,Sergipe
2801,Sertão Sergipano,Mesorregião,28,Sergipe
2906,Centro Sul Baiano,Mesorregião,29,Bahia
2902,Vale São-Franciscano da Bahia,Mesorregião,29,Bahia
2904,Nordeste Baiano,Mesorregião,29,Bahia
2903,Centro Norte Baiano,Mesorregião,29,Bahia
2907,Sul Baiano,Mesorregião,29,Bahia
2905,Metropolitana de Salvador,Mesorregião,29,Bahia
2901,Extremo Oeste Baiano,Mesorregião,29,Bahia
3105,Triângulo Mineiro/Alto Paranaíba,Mesorregião,31,Minas Gerais
3106,Central Mineira,Mesorregião,31,Minas Gerais
3112,Zona da Mata,Mesorregião,31,Minas Gerais
3108,Vale do Rio Doce,Mesorregião,31,Minas Gerais
3109,Oeste de Minas,Mesorregião,31,Minas Gerais
3104,Vale do Mucuri,Mesorregião,31,Minas Gerais
3102,Norte de Minas,Mesorregião,31,Minas Gerais
3110,Sul/Sudoeste de Minas,Mesorregião,31,Minas Gerais
3111,Campo das Vertentes,Mesorregião,31,Minas Gerais
3103,Jequitinhonha,Mesorregião,31,Minas Gerais
3107,Metropolitana de Belo Horizonte,Mesorregião,31,Minas Gerais
3101,Noroeste de Minas,Mesorregião,31,Minas Gerais
3203,Central Espírito-santense,Mesorregião,32,Espírito Santo
3201,Noroeste Espírito-santense,Mesorregião,32,Espírito Santo
3204,Sul Espírito-santense,Mesorregião,32,Espírito Santo
3202,Litoral Norte Espírito-santense,Mesorregião,32,Espírito Santo
3305,Sul Fluminense,Mesorregião,33,Rio de Janeiro
3301,Noroeste Fluminense,Mesorregião,33,Rio de Janeiro
3304,Baixadas,Mesorregião,33,Rio de Janeiro
3303,Centro Fluminense,Mesorregião,33,Rio de Janeiro
3306,Metropolitana do Rio de Janeiro,Mesorregião,33,Rio de Janeiro
