nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,12,Acre,99820,119342,134547,151606,166320,185993,298036,352755,426684,467384,514653,349150,347885,356446,386995,393925,400085,404434,409172,445243,464523,471434,853264,862534,906881,929999,1033311,1672598,1817467,1874804,2062690,2313185,2452915,2315798,2425687,2511285,2578460,2549497,2634467,2697489,2799673,2916207,2998969,2895028,3303633,3509682,3802112,4047283,4635381,4908956
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,27,Alagoas,596109,633330,670113,672780,684183,732174,833063,857332,884320,781465,879607,843888,775412,760248,805100,857581,890998,961066,959420,801582,822387,834347,839482,956013,899744,815472,778750,843240,816067,825121,893922,985422,1029352,1112125,1162005,1193021,1219578,1268304,1221266,1251723,1253121,1255696,1189985,1208404,1247619,1233394,1290414,1321236,1335493,1437589
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,16,Amapá,88287,63798,64679,65766,66270,61200,52210,53135,48140,49410,51880,48370,51953,70271,74679,75768,69619,70875,61656,73108,86221,93349,63648,65953,74508,76734,82822,87197,83901,81674,82243,96599,109081,103170,95803,104977,114773,127499,142825,154967,167529,89682,76379,66921,55422,54296,54684,52768,53691,54842
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,13,Amazonas,317808,198768,203742,208410,228201,239662,350003,361096,390965,421538,473216,427504,431939,478424,609477,628256,637299,647714,639811,688592,746638,805804,733910,770805,809302,826025,843254,863736,894856,1121009,1156723,1197171,1243358,1208652,1312352,1350816,1360800,1439597,1445739,1470537,1405208,1293325,1315821,1343574,1376210,1455842,1437809,1496165,2029011,2377089
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,29,Bahia,6482389,8284595,8895288,8985975,9046244,9125284,9089526,9307798,9349577,9427277,9747695,10255844,10106172,10287696,10758597,11245307,11505420,11808105,12160075,10022150,9876739,9841237,9838136,9949599,9168482,9170680,9556752,9855828,9856290,10146529,10466163,10463098,10764857,11385723,11099880,10230469,10528419,10667903,10250975,10828409,10824134,10758372,10363291,10037814,9923931,10214863,9748632,11755096,12526243,13290719
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,23,Ceará,2041562,1984295,2018602,2045580,2093824,2183615,2433952,2420263,2425187,1930080,2137524,2499907,2605243,2574111,2625709,2674918,2621144,2624901,2601795,2097531,2185560,2266278,2400457,2410956,2114079,2167525,2205954,2194489,2230159,2254262,2269567,2299233,2352589,2424290,2460523,2494482,2546134,2614604,2714713,2591067,2597139,2516197,2426408,2287400,2403371,2479289,2552916,2607005,2681690,2772173
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,53,Distrito Federal,41500,40165,42304,45646,50925,53980,65847,71488,80216,81250,80780,76389,84320,89597,103443,107069,105550,101651,107099,123569,124419,123110,115000,123306,110058,110157,112139,113362,113400,112580,114680,102320,98740,101590,80000,102000,100600,98000,100069,101452,100056,96576,96265,93141,90199,84425,84225,85771,85544,83061
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,32,Espírito Santo,1683462,2126102,2254886,2281689,2200293,2026529,1870306,1884173,1845382,1799924,1759889,1705512,1727062,1664627,1696617,1697217,1664773,1765967,1829137,1934782,1918910,1968311,1816047,1935672,1938100,1881831,1825283,1664993,1682827,1805299,1925596,2026690,2119309,2142342,2120017,2187235,2195406,2223262,2285345,2313445,2295624,2223531,2044771,1937604,1976903,2006027,2106299,2213129,2231036,2179082
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,52,Goiás,8970253,10704168,11509830,11636214,11766784,12324779,13366845,13908536,14140902,15218760,16291145,15913990,15255665,16012235,16563745,17095470,17635390,18574234,18147923,18580908,18397064,18492318,16954667,17182332,18118412,18297357,18399222,19132372,20101893,20178516,20419803,20726586,20646560,20471490,20466360,20874943,21347881,21744650,22045776,21580398,21538072,21887720,22919070,22835005,22651910,22823401,23626608,24293954,24410182,23729878
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,21,Maranhão,1721854,1782518,1829081,1901089,2007977,2209114,2835869,2906004,3054555,3129495,3307910,3278340,3428806,3550917,3673815,3813651,3900158,3948710,3930893,4019776,4101939,4162059,3935754,3905311,3936949,3966430,4093563,4483209,4776278,5514167,5928131,6448948,6613270,6609438,6816338,6885265,6979844,7264106,7490942,7611324,7758352,7643128,7653870,7687695,7793180,8008643,8323445,8561509,9428128,10128610
