nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,27,Alagoas,2702,Agreste Alagoano,210477,233071,247661,245311,252115,271363,315832,326932,341857,295274,328334,314335,298477,289950,309199,313118,323027,349730,329310,312738,318108,325026,329270,329893,304115,285299,289906,318335,294441,304816,318699,328789,329405,345903,374386,387898,400152,424187,402612,428447,435409,431731,381539,367220,386377,375557,403375,395653,401534,426333
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,373742,421100,441498,474430,491060,505153,472721,478139,486215,459862,479759,503564,513314,507620,525018,554533,569801,568432,593184,399542,446735,452072,464436,469366,357366,307097,337519,333021,332165,339142,346395,379701,383493,397630,416017,421551,428097,455537,404612,407560,411035,406200,416930,419194,420750,426968,439556,439117,425925,436036
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,26,Pernambuco,2603,Agreste Pernambucano,772430,826814,870418,874770,923155,917551,1010409,998211,978095,759698,824644,943512,1013669,1022482,1047415,1087672,1088807,1096356,1067238,726075,748519,723432,1103260,871745,766034,682947,718687,899827,958189,896908,880403,984793,1078799,1171731,1182528,1202856,1269416,1363176,1002528,988263,1060280,1092600,1046936,989967,1005717,1039634,1003835,1184287,1225462,1323924
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,24,Rio Grande do Norte,2403,Agreste Potiguar,192245,189836,192938,196861,201130,194889,236314,220183,202824,148226,160390,170657,239328,243672,242014,255999,238148,243101,248684,162630,176703,190379,248951,254109,222075,197476,214800,224639,241835,257933,278869,298114,315534,292306,271712,301303,267002,258243,203866,194988,206371,202962,185668,186560,201469,221158,236618,232315,255509,268549
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,28,Sergipe,2802,Agreste Sergipano,245161,287220,300319,315760,327258,327873,346993,335256,322875,218592,232585,252835,295220,296035,309254,359631,368477,371965,375688,316890,282510,272022,283310,289240,291929,298200,292259,303850,306950,302556,311915,338263,358282,350838,363756,373835,369291,375616,364319,392941,404300,411010,398370,351307,350253,352808,354049,371378,380576,446858
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3505,Araraquara,338354,375702,394024,394208,378143,364902,384943,389990,364757,356786,356098,364614,358156,378705,337862,340749,331962,334235,329672,348081,327006,318413,309085,321827,322659,333023,334297,335682,333097,318309,318285,320820,254812,233633,224009,220673,218010,218363,209154,204044,185239,191389,212533,204798,198686,198288,195211,199066,205171,202073
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3503,Araçatuba,1334418,1461938,1524822,1502100,1538838,1568576,1489667,1468434,1484047,1363155,1384224,1168154,1280589,1359003,1396623,1395275,1368145,1389426,1439973,1466490,1528597,1581246,1585082,1528108,1536876,1597437,1627022,1657969,1664258,1671713,1598773,1549436,1436171,1233614,1176663,1128118,1157610,1123134,1040974,971442,927734,986523,1064570,1062797,1000366,976460,1004189,1033997,1090062,1017167
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3510,Assis,555309,572671,591533,573742,516524,525808,621962,617485,612450,645034,640995,610439,705686,703578,680812,706416,723542,738076,767602,770283,794510,804455,696048,673292,682974,694830,692520,692463,697130,704578,670790,628309,614582,554337,546224,556678,556676,552075,540368,532586,495369,501693,505091,505989,489728,454496,429922,445412,460949,430888
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,3304,Baixadas,61857,90618,100606,104194,108158,117687,114801,111673,127313,132795,161341,121882,153423,165949,169232,172571,185951,142196,146412,152604,177279,171198,159175,162201,160670,158547,178009,168601,170955,173986,179327,193709,187493,178536,185799,191144,193620,189710,188915,231749,221964,191556,196056,194841,211739,196472,200658,200642,208576,199448
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,15,Pará,1501,Baixo Amazonas,348457,263899,267491,270545,286483,294760,451086,482534,535260,599254,658506,502510,617329,651266,685866,591040,502496,539205,570124,633743,656814,691198,568224,583938,611863,681939,749244,765545,822519,923406,1027929,1063334,1086343,1026720,1113499,1134502,1177144,1134552,1237938,1206573,1274215,1253080,1260773,1343141,1350622,1342538,1446579,1519395,1526479,1665083
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3504,Bauru,921554,1030565,1081116,1067447,1039868,1042462,1227218,1194395,1195534,1202285,1236199,1262715,1456394,1376978,1394214,1541025,1502228,1471523,1423978,1428602,1489858,1508687,1479498,1480931,1514621,1561819,1585688,1593139,1682069,1745417,1767809,1688211,1604109,1512492,1348959,1333779,1322582,1253984,1217389,1152861,1111712,1158336,1231599,1245816,1201653,1167001,1147276,1148463,1170888,1086853
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,25,Paraíba,2502,Borborema,196175,218427,229313,247327,250288,250226,209826,209750,207973,159461,179170,215030,256281,246115,245375,249913,211093,215592,218725,129140,123483,146823,233248,243738,133619,123335,132291,137839,143919,158936,168599,173062,174230,178365,184272,191392,195408,216435,144869,153230,166003,170673,166990,161442,165501,171540,183805,193946,194558,199675
