nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,codigo_microrregiao,microrregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3508,Presidente Prudente,35035,Adamantina,236175,236391,241320,244801,241820,229641,254703,237173,231235,237726,252312,276325,315195,327937,315721,315949,323708,338294,350869,372765,367554,364800,385161,392637,377214,385062,385608,374279,397307,421754,399672,378037,361567,316701,311631,309655,328482,331891,323049,320424,310963,320779,358103,367056,353878,351198,357939,372573,393815,384764
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,32,Espírito Santo,3203,Central Espírito-santense,32007,Afonso Cláudio,75530,96280,101705,102722,97511,99540,83047,82206,68169,64493,63155,80200,63873,56595,55937,59603,60269,57946,57770,61232,62689,55774,71692,71515,72939,64587,61290,63205,63100,60188,57792,57308,52096,54970,53904,64333,70283,71196,70505,68598,71094,69346,74274,65482,65165,65825,67713,70987,72327,70841
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,21,Maranhão,2101,Norte Maranhense,21002,Aglomeração Urbana de São Luís,8069,3859,3778,3653,3530,2960,4981,5221,4583,4529,5004,3420,3342,3636,4049,4452,4705,4793,4545,4600,3260,3506,2204,2159,2132,2149,2201,2299,2265,2170,2212,5350,5152,5313,4986,5560,5260,5250,5035,4700,4594,4547,5086,3999,3211,3385,3481,3674,3885,4416
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,24,Rio Grande do Norte,2403,Agreste Potiguar,24015,Agreste Potiguar,109612,102433,102604,105499,108130,104806,138034,129827,120600,83443,88064,89817,127214,132143,129109,139877,139816,142350,141782,94197,102245,110369,140388,138315,127001,111096,118491,127379,139702,147686,160326,174207,180958,166682,154734,188020,164338,160642,132846,121781,131097,131451,120516,125677,133697,140046,149419,145737,160102,163131
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,28,Sergipe,2802,Agreste Sergipano,28004,Agreste de Itabaiana,42367,45251,45579,46978,46664,48315,58083,58930,60350,48500,49290,47650,56300,53050,55909,60558,64521,59565,63680,51860,40450,36690,62590,58291,60058,61968,64025,66060,63400,58124,55013,56329,60140,62584,63122,65043,68119,57185,64168,71130,94792,94293,91965,75386,78093,81206,82865,82502,78017,91807
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,28,Sergipe,2802,Agreste Sergipano,28006,Agreste de Lagarto,65690,81361,86016,91064,90500,83523,86929,84981,92550,65186,69758,81249,85178,89888,96238,115636,119170,121300,124400,107090,100464,94716,70570,74979,77031,78340,77933,80412,84755,82020,90035,94678,100033,95665,99171,100305,99572,101000,94600,101560,97510,99195,101602,92214,97609,97302,91855,95191,97377,116401
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,3108,Vale do Rio Doce,31041,Aimorés,440549,557146,501497,564156,502503,444136,442318,445397,447311,424880,410207,414615,411089,427213,405501,385923,342606,352586,317417,344660,342082,347492,394019,405284,387443,348931,328729,323845,326066,348465,375560,397341,416235,446555,443989,452520,461095,505925,519545,536172,528157,505879,438598,406106,413913,421719,425225,442637,451900,438227
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,27,Alagoas,2701,Sertão Alagoano,27002,Alagoana do Sertão do São Francisco,15457,15614,16243,16367,14550,15850,23994,24500,21325,19419,24712,20885,25592,24166,23289,23290,23500,16600,15000,9000,8100,7380,6980,30910,30400,25850,23570,23360,20211,17506,18797,21904,27000,36000,35785,34000,33980,34305,30254,29550,28364,27901,27719,30035,26755,23030,25577,30796,29804,32809
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,29,Bahia,2904,Nordeste Baiano,29017,Alagoinhas,90992,128455,138804,138752,143760,152183,166086,175144,183544,183761,176876,183405,193413,195733,207983,217527,232256,231494,222069,216331,241502,225289,213206,211479,126183,109052,127939,130522,133738,153851,152669,158654,156730,156880,162837,152003,158677,158906,167626,158992,160027,167769,169746,163983,158180,159735,155135,193548,213881,229033
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,32,Espírito Santo,3204,Sul Espírito-santense,32011,Alegre,136309,161034,172980,175874,180642,158105,137264,141275,145449,148260,142519,120000,134600,116517,113338,110601,113247,120967,124268,115866,111858,114698,132649,136859,132653,127332,120751,68179,64799,100203,110251,117583,126585,131081,132370,144762,151450,152991,152237,156462,160861,162802,172532,166310,166171,163027,163228,170743,170816,168056
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,3110,Sul/Sudoeste de Minas,31049,Alfenas,244351,238168,241671,237852,224969,219900,208534,200383,186789,170410,180432,185395,217989,217159,215423,208137,214747,219985,202772,212277,226418,249891,264630,264400,254700,228700,222201,220340,220776,214464,215120,224517,247693,244047,237980,243972,245700,252483,244635,244338,241788,252611,263633,246649,235988,235475,230527,229507,223501,218721
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,15,Pará,1501,Baixo Amazonas,15003,Almeirim,26559,30272,32422,32747,33192,22900,11564,13610,15308,15894,16608,18440,19393,20411,20603,23147,23845,25682,26669,27341,30654,32898,20323,20506,20873,21124,21547,31578,38450,40372,42621,43519,44829,73308,81323,85870,90163,94403,97234,45590,74154,68523,72533,76332,75003,75572,83026,95196,83026,97509
