nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,20885322,22686305,24251089,24567377,25081081,26621567,30586503,32419789,33378747,35137631,37042217,37489367,38185992,40005291,41493812,43408874,45945934,48109039,48788007,52186481,53419853,55061299,53398488,54626557,56401545,57226833,59641301,61787299,65567223,69888635,71168853,71984504,70535922,68088112,68929795,70659695,72559996,72662219,72385029,71124329,71234141,72705736,75112421,74128217,73838407,74289590,75440444,75413186,77175767,76698859
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,16244000,18296797,19229147,19574816,20005028,20512853,21875798,22136018,22112521,20605323,21692937,23014947,23729381,24001072,24897021,25955266,26190283,26668890,26911981,22527240,22824686,23173936,23882203,23830908,21980699,21875110,22566644,23414017,23892180,24992158,25966460,26969286,27881219,28711240,28851880,28289850,28762119,29585933,28244899,28958676,29350651,29092184,28393671,27791097,27837112,28596654,28601643,31316917,33212878,35349586
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,4217220,4293544,4596133,4863788,5318446,5768087,6774500,7346000,8055615,8927135,9659335,8910492,9848378,10856266,12143357,13148461,13316950,15361795,15846530,17066794,17966117,19183092,17982582,19297809,21098665,22430811,24517612,27284210,30428813,33929590,39787138,41489002,41060384,37865772,39119455,40437159,42100695,43238310,43815346,44705617,45826142,47175989,47983190,48508063,48900788,49682199,52421123,55727449,61103379,63039002
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,30386094,35586295,37073316,36308815,35516968,35115460,35125592,35044971,35137299,35084928,34987624,34620663,35367710,35657970,35802516,36235614,36323168,36723631,37231470,37626538,37604020,37168199,36604615,36977462,37073604,36898631,36851997,37118765,37923575,38711076,39379011,38943898,39208512,38586629,37820094,38016674,38251950,39335644,39206257,39341429,38530737,38812076,39123700,37550079,37111436,37047182,37441512,38461833,38990889,38211572
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,20762728,21668817,22199367,21981760,21021042,21159519,24609025,24838306,24803652,24430982,24272484,24387197,25083217,25198501,25262400,25405888,25325979,25272150,25451315,25727020,26428553,26641412,26420652,26683421,26599844,26189653,26297970,26782500,27537047,28030117,28211275,27770006,27200207,26500261,27585507,27904576,27866349,27993205,27627551,27634241,27424461,27434523,27577786,27026122,26121702,25393333,24245576,23682607,24368623,25327423
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,106988,57595,59844,58796,61490,70614,77750,62221,70235,82572,94238,94256,103423,113034,119831,146278,159087,167658,163611,169543,176227,172132,69612,74531,76977,80749,84785,92144,96435,103724,110011,114297,116996,116046,113408,115865,113427,114275,101889,92175,91017,90569,92991,90677,101157,101688,98726,103451,105353,86452
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,6243580,6542353,6901828,6836996,7079083,7429210,7656437,8091259,8200464,8016632,8667987,8989138,9533732,9694045,10160737,10476509,10677129,10937252,10927790,9351034,9622676,10023365,6913058,7417960,7596256,8032529,8741488,8908722,8790919,8905773,9331460,9542910,9613847,8633722,8521388,8302817,8458578,8538290,7841373,8023070,8109672,8909076,9130578,9817955,10311014,11024373,11498124,11325865,11838172,12373805
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,76102,43293,51223,72083,62430,74954,73141,88368,97523,140764,152652,163437,184375,205991,240823,242144,241225,255154,266968,293073,299124,306922,98300,108385,112221,123117,134624,138791,136619,140359,148546,154678,155114,167326,176443,177377,164047,165264,148693,140926,142480,148515,152611,164597,161669,146959,161368,136863,125494,129010
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,217124,182288,192005,179524,183258,202631,204874,216528,241027,267145,325135,330864,322244,330247,342620,350015,362052,361599,349682,358039,352284,358233,178823,192951,199233,204365,204188,210762,210637,226090,237416,252124,263283,253294,225853,231781,233407,225643,220852,207049,199198,182858,171255,162096,164974,157570,154894,148706,148170,140555
Efetivo - Caprinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,526835,275465,279717,276582,279037,292579,313514,406129,427497,428679,434625,442406,450718,447718,448702,454072,455094,450483,451513,446842,428975,411001,176661,174342,179466,182175,181728,187013,194512,205707,219455,242713,252209,279924,317922,335720,343325,342844,333656,315993,309512,289859,269572,230932,220880,206739,188186,182319,173301,161671
