nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,27,Alagoas,2702,Agreste Alagoano,37807.0,40504.0,3375.0,46126.0,21915.0,38625.0,31507.0,36383.0,50843.0,25724.0,42231.0,38617.0,43393.0,27679.0,31708.0,4703.0,1103.0,4716.0,4090.0,2277.0,4577.0,5591.0,5408.0,8149.0,7218.0,4900.0,4745.0,8816.0,8880.0,3083.0,3233.0,5851.0,5385.0,4935.0,1410.0,658.0,521.0,319.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,69135.0,57915.0,54183.0,51436.0,47705.0,48965.0,55845.0,59505.0,62410.0,49493.0,48280.0,28005.0,7778.0,3650.0,9079.0,16346.0,13082.0,13382.0,12354.0,3303.0,7481.0,6861.0,3963.0,5733.0,2231.0,7680.0,12626.0,2308.0,878.0,3967.0,8051.0,6392.0,2515.0,1338.0,777.0,704.0,449.0,321.0,40.0,73.0,32.0,70.0,144.0,255.0,325.0,270.0,308.0,264.0,351.0,448.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,26,Pernambuco,2603,Agreste Pernambucano,82691.0,71449.0,60100.0,56140.0,43066.0,39049.0,30808.0,28733.0,37330.0,17253.0,25029.0,24189.0,20536.0,6868.0,8172.0,9175.0,5184.0,7120.0,3435.0,1789.0,4245.0,3815.0,2303.0,1873.0,188.0,387.0,4373.0,1248.0,2025.0,343.0,1254.0,1197.0,1281.0,761.0,535.0,464.0,218.0,554.0,457.0,0.0,13.0,20.0,36.0,40.0,16.0,0.0,5.0,12.0,0.0,9.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,24,Rio Grande do Norte,2403,Agreste Potiguar,64040.0,68315.0,69004.0,65128.0,70210.0,53081.0,52698.0,65015.0,84169.0,34634.0,74987.0,72682.0,29712.0,4759.0,12343.0,11223.0,3633.0,3034.0,8967.0,543.0,10078.0,7551.0,1491.0,1210.0,506.0,863.0,5651.0,944.0,2140.0,2004.0,4210.0,4315.0,1571.0,908.0,1379.0,980.0,806.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,28,Sergipe,2802,Agreste Sergipano,9888.0,4842.0,1101.0,4411.0,4077.0,7034.0,490.0,5656.0,5131.0,137.0,5232.0,5758.0,6032.0,4617.0,5505.0,2444.0,581.0,468.0,185.0,78.0,731.0,1725.0,927.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,35,São Paulo,3505,Araraquara,13716.0,12211.0,7797.0,10126.0,10256.0,9081.0,7737.0,8758.0,8641.0,8125.0,6502.0,9904.0,9094.0,10820.0,7343.0,4620.0,6430.0,5812.0,5280.0,4230.0,3950.0,2145.0,1850.0,2302.0,2410.0,2102.0,2180.0,1295.0,501.0,586.0,960.0,980.0,1015.0,1480.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,35,São Paulo,3503,Araçatuba,31890.0,18579.0,10433.0,15287.0,20690.0,15686.0,7313.0,8208.0,15204.0,15962.0,19962.0,35244.0,29243.0,28725.0,40628.0,26311.0,29662.0,15546.0,27062.0,15615.0,17259.0,22511.0,8658.0,2781.0,6873.0,1388.0,1614.0,1708.0,1902.0,1859.0,4367.0,6428.0,2780.0,1485.0,665.0,0.0,0.0,0.0,121.0,145.0,242.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,218.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,35,São Paulo,3510,Assis,14188.0,11440.0,1896.0,6007.0,9941.0,12922.0,17124.0,19220.0,14901.0,16010.0,12827.0,24642.0,15447.0,17305.0,17704.0,8805.0,11796.0,11070.0,14211.0,4084.0,4165.0,3028.0,2182.0,1849.0,2359.0,1202.0,162.0,414.0,460.0,280.0,498.0,380.0,321.0,290.0,139.0,107.0,95.0,75.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,33,Rio de Janeiro,3304,Baixadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,15,Pará,1501,Baixo Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1175.0,245.0,303.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
