nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,107031.0,127795.0,74801.0,141465.0,111154.0,90693.0,80295.0,89455.0,85349.0,82574.0,87530.0,147524.0,100536.0,88949.0,126552.0,113808.0,123451.0,163321.0,180941.0,147399.0,160967.0,198934.0,196371.0,152097.0,342295.0,363469.0,403730.0,570309.0,476376.0,436753.0,671325.0,700003.0,490820.0,691439.0,655840.0,449129.0,503834.0,891957.0,887100.0,578258.0,719025.0,637044.0,664908.0,671846.0,820450.0,1188607.0,1210593.0,1019549.0,1249105.0,1291342.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,809101.0,672194.0,490028.0,684923.0,600974.0,521488.0,558780.0,575879.0,684006.0,420075.0,887597.0,1012725.0,955604.0,338353.0,699368.0,555292.0,330152.0,334500.0,359520.0,180825.0,404200.0,359681.0,199070.0,268545.0,160138.0,131292.0,226998.0,123778.0,145421.0,143485.0,290597.0,334238.0,302758.0,348949.0,361763.0,326762.0,307052.0,459147.0,438298.0,325199.0,372953.0,369002.0,301970.0,226841.0,299327.0,378589.0,364928.0,316323.0,348810.0,361616.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,3782.0,605.0,1123.0,1296.0,2851.0,3344.0,5202.0,6286.0,12351.0,12453.0,23013.0,5508.0,7041.0,7239.0,13439.0,24214.0,17582.0,8133.0,7762.0,18330.0,26962.0,20815.0,5257.0,5307.0,5383.0,1638.0,1705.0,985.0,332.0,3461.0,3304.0,1343.0,333.0,715.0,2145.0,3750.0,5450.0,5550.0,7500.0,5950.0,4760.0,4303.0,5153.0,6120.0,2000.0,3859.0,5725.0,1521.0,15535.0,17802.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,496122.0,479237.0,318361.0,416666.0,466013.0,383855.0,373166.0,419166.0,417062.0,392114.0,353138.0,547119.0,517740.0,456736.0,515209.0,398389.0,430699.0,362009.0,341315.0,231039.0,233435.0,241346.0,162284.0,134594.0,204219.0,124748.0,115076.0,108824.0,102121.0,98808.0,137499.0,165537.0,90107.0,71826.0,37228.0,28657.0,29873.0,47349.0,47788.0,34241.0,32661.0,22586.0,24157.0,23180.0,28083.0,55806.0,51747.0,31940.0,36034.0,38518.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,310000.0,267000.0,181450.0,290400.0,290100.0,286800.0,336000.0,305790.0,369500.0,440000.0,322124.0,540000.0,415000.0,386000.0,470000.0,415091.0,490000.0,618000.0,704498.0,345000.0,235000.0,282760.0,181916.0,59874.0,112994.0,48166.0,54109.0,71211.0,36181.0,30049.0,47315.0,57387.0,13990.0,12333.0,6548.0,3271.0,3355.0,1132.0,1233.0,94.0,0.0,0.0,0.0,0.0,154.0,302.0,98.0,97.0,48.0,147.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,61418.0,76320.0,134454.0,30124.0,22598.0,22139.0,27259.0,12093.0,8189.0,5669.0,2160.0,3189.0,2575.0,2986.0,666.0,248.0,344.0,760.0,682.0,236.0,289.0,666.0,503.0,449.0,721.0,794.0,845.0,2040.0,1875.0,2434.0,5331.0,14981.0,9521.0,6527.0,5735.0,5825.0,4428.0,2068.0,1351.0,1261.0,1547.0,1052.0,1163.0,1760.0,1672.0,2535.0,2946.0,3152.0,7552.0,8532.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,22834.0,16332.0,15462.0,6434.0,5510.0,5381.0,5016.0,4769.0,5746.0,4560.0,5404.0,6049.0,6080.0,6833.0,7185.0,6817.0,5690.0,6910.0,6078.0,5278.0,6318.0,6476.0,7296.0,7133.0,6085.0,6350.0,7240.0,6477.0,6975.0,9214.0,10451.0,10688.0,10852.0,9997.0,15210.0,11261.0,12214.0,13680.0,9018.0,8510.0,8635.0,9030.0,8551.0,8965.0,9113.0,9182.0,8594.0,8230.0,8487.0,8528.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,1060.0,1056.0,504.0,254.0,161.0,397.0,304.0,356.0,327.0,334.0,378.0,112.0,1469.0,1445.0,631.0,69.0,133.0,50.0,36.0,36.0,54.0,53.0,206.0,42.0,140.0,2305.0,57.0,94.0,154.0,339.0,395.0,1784.0,313.0,335.0,2387.0,3042.0,4399.0,1965.0,2851.0,2026.0,1002.0,2571.0,1524.0,450.0,631.0,569.0,726.0,320.0,283.0,244.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,437268.0,382922.0,468772.0,148363.0,176122.0,208341.0,217937.0,189847.0,187872.0,172463.0,125460.0,162726.0,136990.0,118537.0,82391.0,70932.0,69722.0,74140.0,86256.0,73237.0,78219.0,80472.0,65304.0,72707.0,86722.0,83107.0,87808.0,86128.0,78545.0,68118.0,79297.0,99225.0,80434.0,85881.0,87731.0,62798.0,62478.0,81160.0,90804.0,103598.0,126165.0,129952.0,138486.0,138263.0,136108.0,155026.0,162748.0,188858.0,200810.0,215118.0,
Área colhida - Amendoim - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,224694.0,213560.0,123738.0,43572.0,49394.0,52428.0,62431.0,37741.0,34754.0,28670.0,17261.0,21089.0,14742.0,13785.0,9011.0,7450.0,7694.0,7554.0,7597.0,7190.0,7017.0,7056.0,7426.0,8141.0,8377.0,8662.0,8998.0,10271.0,9544.0,9069.0,9027.0,9450.0,9657.0,11036.0,10391.0,11397.0,10019.0,7798.0,6342.0,5575.0,5603.0,5267.0,4832.0,4862.0,4308.0,4257.0,3763.0,3402.0,3331.0,3265.0,
