nome,fonte,unidade,tipo_unidade,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,11,Rondônia,,,,,,,,,0,0,0,0,0,0,1,11,354,1453,16072,411870,28541000,31475862,22722498,19378459,30868098,17261708,25985693,22425196,38434806,30261419,49596579,50094187,56956394,70482533,101735887,106433144,117642009,129685824,164034945,159019101,162591513,197227386,197271540,211889774,331265715,231759609,210685708,280891808,439577434,464349194
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,12,Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,198,1111,13007,338075,9108000,8670050,9429079,11465424,12752068,16480351,28832578,23410699,41052040,38074672,44857879,52089827,65722438,67489496,69364085,106554752,115099273,132794861,188847015,168472188,182797519,165532358,156086344,164523809,169723119,133543443,155337183,198191425,186978788,225158628
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,13,Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,363,2044,18530,317371,9961000,15165209,8361322,18972823,17682239,17685970,0,7891870,44533581,55795495,88331433,113011299,109260060,120755161,164954629,159933449,211185655,167370915,231933981,294766705,323961805,186133490,212944640,195632348,287725507,194136544,175044113,443227840,594391530,329459042
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,14,Roraima,,,,,,,,,0,,0,0,0,0,0,6,41,596,7270,324328,7352000,18979064,17389051,25409846,22963990,22648292,25823450,38178390,21051058,38935586,29382517,60007887,35404925,51334871,44701102,52057140,125711316,57090517,56186842,347087302,51081875,56899914,72457326,82282679,46439919,48894711,67296397,105929204,270670888,183412417
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,15,Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,516,2912,21808,396621,11175000,18581792,12856192,14848818,29757543,30962077,46812830,53468508,60500850,63805523,79216322,96831600,103348724,141486890,229051941,202790221,255736267,247044736,302206767,303636756,341249275,330761350,346487410,360105917,417302765,351858821,380705994,523171411,632021077,598260960
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,16,Amapá,,,,,,,,,0,,0,0,0,0,0,11,284,1130,8434,156353,5103000,6786255,6592337,6449909,3297260,2869222,5433628,9538735,13328157,14627607,15247535,18120189,20845342,28131655,24858345,31001019,23828850,24347301,27714427,46388223,36984608,26324059,15120323,18083579,21335023,12065102,14106295,26174735,56702439,68386816
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,17,Tocantins,,,,,,,,,,,,0,0,0,0,0,109,788,6887,240959,6425000,8385409,11118163,17151218,33728582,26740002,16412543,30644969,67983726,62232880,70350354,88044054,83829773,164085167,285711674,123654572,46398609,54463036,173954391,213377454,180450862,212806759,218469173,227070044,231303103,253891184,245572936,277453772,301380584,403852238
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,21,Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,595,3271,45586,1682980,20632000,27659754,30714358,26234100,35983157,15239851,7073868,4960227,29199438,37711437,22579249,28989526,50550149,57310272,104170982,105264349,124547504,107406361,190603947,261588882,327050357,152166095,230486620,244680127,226382632,187028561,177323517,272472577,281467256,212048499
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,22,Piauí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,930,2825,24437,709404,8993000,26920227,18985993,14983541,39688555,24130811,13580655,29064465,47154919,32106522,49982244,111402325,105137005,105720877,99080373,40812329,69732776,53580917,86237019,175301493,150091898,65370867,96824481,90872928,151199923,94261056,132287907,193917232,364756276,429029502
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Estado,23,Ceará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,1195,4912,52391,1315618,31747000,47708000,2916788,53899770,92306806,62272698,86718333,61798000,296497149,363698782,364034430,288389006,267205106,186598682,286578350,309334383,495741782,471500487,525692118,502643751,643626880,629137276,588332137,660382611,753658717,528986749,653374600,713690270,800942270,907073922
