nome,fonte,unidade,tipo_unidade,codigo_estado,estado,codigo_municipio,municipio,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100015,Alta Floresta D'Oeste,,,,,,,,,,,,,,,,,1,1,13,189,5616,8264,,25501,109186,0,0,0,47164,75325,219154,284617,190779,222483,69447,847593,1593856,986622,2656838,1047268,1808667,901799,661254,870523,942121,708273,411621,701404,1022057,383986
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100023,Ariquemes,,,,,,,,,,,,,,,,,0,3,104,7741,320319,390541,,579044,342049,148057,79638,239656,1727324,3529747,2110023,2830091,2290313,2661648,4184405,3579478,4070280,9121821,6170684,4278799,,7549177,4862901,3178810,5807112,5918268,7444662,12398324,10503270,14892616
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100031,Cabixi,,,,,,,,,,,,,,,,,0,1,1,93,988,1547,,350,9394,9203,4617,504862,325836,164371,65333,13984,125426,177246,0,0,67943,1417,113950,164926,273330,85399,41890,175420,584856,501784,883751,782045,1366143,1781750
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100049,Cacoal,,,,,,,,,,,,,,,,,1,7,8,1149,36035,412771,,383849,599062,737445,1092900,1701059,1106151,1877932,3433385,1583413,4089233,1228482,3518766,4970291,4738384,6642328,5973059,7378224,9715533,11113260,9675439,10000823,10055817,12365683,12753231,15488874,21537161,23569377
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100056,Cerejeiras,,,,,,,,,,,,,,,,,0,0,13,2,0,0,,13000,0,2500,536,65868,480,53872,23995,25791,119180,288882,717005,1058173,391276,1095802,281020,335230,500650,304708,735228,1860206,1955234,2414017,2122159,4442145,3929429,5952897
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100064,Colorado do Oeste,,,,,,,,,,,,,,,,,0,1,40,34,7472,31552,,14000,0,0,4609,509264,440494,73558,1656,119433,20139,19953,404803,259842,143845,21073,1199790,227993,132780,405764,21554,147309,146492,378682,319991,794253,773745,469909
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100072,Corumbiara,,,,,,,,,,,,,,,,,,,,13,0,0,,0,0,0,3181,7368,254623,8065,7699,369612,331459,304702,79949,277567,859980,743062,1142881,895316,2724282,1553292,1095351,937333,951848,871725,534465,633908,800820,2510196
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100080,Costa Marques,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,12636,389,892,7009,277250,216644,373390,104800,414014,450176,341180,162044,473156,361216,302846,215767,256262,912272,1445172,1456805,1305360,783559
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100098,Espigão D'Oeste,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,6400,9600,318782,,44346,97063,95964,478711,688134,1273525,1977011,1153625,871046,2054514,783116,806149,2204157,1146818,348975,335991,2172864,2939541,3706168,14982416,14986487
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100106,Guajará-Mirim,,,,,,,,,,,,,,,,,0,0,0,0,902,571,,573,1520,0,0,11323,0,4999,4374,29284,220448,275085,156813,23669,230336,106644,58853,85980,1033756,87841,89533,140775,274863,0,0,0,,248770
