nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1101,Madeira-Guaporé,11001,496331.41,490823.27,513294.43,39779.57,43103.57,110026.57,119328.43,109606.02,82656.49,95323.61,89250.1,116087.34,134149.05,114641.07,149761.4,126114.69,118009.69,139225.36,145608.08000000002,190423.69,192108.66999999998,57046.56,76914.34,84567.75,111327.02,115906.18,116144.0,127271.0,207066.0,231169.0,256949.0,251860.0,253041.0,249284.0,255772.0,268716.0,289707.0,207783.0,195139.0,264102.0,309659.0,425428.0,475183.0,490753.0,544261.0,639770.0,505170.0,870644.0,1049204.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1101,Madeira-Guaporé,11002,40354.36,38881.05,28905.83,18636.95,21127.66,33507.57,89005.43,75842.14,84704.33,29213.94,57864.28,65739.24,36161.85,44881.82,42228.61,40372.85,42821.34,47509.979999999996,54049.899999999994,59955.119999999995,63047.51,11126.619999999999,18055.27,18523.690000000002,21103.88,22778.87,27401.0,23002.0,30312.0,43511.0,44799.0,48308.0,44645.0,45271.0,47859.0,52788.0,32264.0,32051.0,34465.0,20074.0,24727.0,24705.0,26926.0,26220.0,26788.0,28687.0,31532.0,59414.0,98901.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11003,0.0,0.0,0.0,52975.15,87436.81,185481.72999999998,274775.76,227208.64,223501.38,221119.11,124703.45,130100.33,143936.3,133048.24,138218.47,182157.87,180728.02000000002,184587.87,250915.19,281921.14,254860.84,73016.8,64996.48,102661.29000000001,122538.12,131374.87,129884.0,104569.0,132532.0,167966.0,184651.0,164201.0,183866.0,166132.0,180364.0,180025.0,164236.0,252892.0,191741.0,267316.0,320545.0,321652.0,326620.0,295710.0,363342.0,389143.0,424799.0,494363.0,554698.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11004,0.0,0.0,0.0,148252.93,169329.34,281205.43,325327.87,390955.23,402204.39,450694.18,548049.45,579225.36,509151.42,548982.2,516592.29,441048.82999999996,452880.57999999996,583713.29,659002.31,703180.98,787574.78,150719.7,149047.8,176888.12,189134.18,190190.17,192893.0,147568.0,179512.0,170211.0,172371.0,158907.0,164431.0,179207.0,181599.0,178254.0,157508.0,126828.0,112702.0,132357.0,134944.0,184077.0,168414.0,147563.0,145446.0,133544.0,112087.0,124599.0,130128.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15699.35,34252.74,70590.27,60633.03,70029.95999999999,85168.22,84846.39,139575.37,139383.32,73104.32,75305.91,81584.93,101673.39,104031.38,111999.0,61356.0,70947.0,70066.0,72030.0,79947.0,85391.0,81830.0,78430.0,77289.0,74446.0,65576.0,80169.0,95542.0,120800.0,103249.0,142365.0,126548.0,143133.0,146677.0,182831.0,306994.0,381392.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11006,0.0,0.0,0.0,62409.28,76341.36,104170.01,127995.88,182408.37,170707.72,183059.2,348412.44,235186.5,232206.87,260489.47,341903.76,307577.22,314201.66,341070.54,346800.4,374229.83,378134.21,195624.74,199636.23,229960.34,266365.2,255645.94,242138.0,164062.0,180364.0,197807.0,231433.0,228944.0,235080.0,389359.0,370728.0,376115.0,351636.0,381056.0,421456.0,435712.0,292222.0,415897.0,397293.0,269301.0,300962.0,237604.0,407677.0,324603.0,406623.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11007,0.0,0.0,0.0,72564.83,155479.12,187313.96,189246.58000000002,35635.37,37944.520000000004,67807.39,68478.53,170089.74,96664.8,116811.61,102731.62,77937.63,75804.77,98791.57,76555.62,81499.13,83330.14,49591.3,50818.43,58669.76,72565.52,88610.47,122779.0,142002.0,208292.0,261344.0,282416.0,282577.0,249864.0,330805.0,302178.0,343187.0,324621.0,597679.0,457248.0,487947.0,613650.0,597663.0,666675.0,563740.0,619146.0,668026.0,589199.0,723762.0,801315.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,11,Rondônia,1102,Leste Rondoniense,11008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162976.84,138610.96,165522.2,169209.83,161707.61,151480.43,161369.66,177184.68,111952.15,111483.77,142095.98,184112.09,181720.74,116993.93,69516.0,64701.58,74861.78,114963.78,120762.78,115282.0,83778.0,107181.0,157261.0,214931.0,243701.0,233555.0,254058.0,442078.0,410467.0,469856.0,521961.0,606976.0,655718.0,771197.0,628546.0,896883.0,850176.0,1065224.0,1066882.0,1173003.0,1177847.0,1249218.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,12,Acre,1201,Vale do Juruá,12001,60475.55,67484.63,60917.96,61520.39,67335.48,72289.44,89362.08,91773.42,83627.45999999999,81923.8,75244.48999999999,78409.75,80048.70999999999,82532.26000000001,85161.95,87817.43,90722.95999999999,91108.79000000001,67231.72,95626.2,100843.31,94561.33,106686.68,96891.04000000001,113992.85,116821.41,113237.0,118767.0,167388.0,156496.0,201783.0,200763.0,229673.0,223861.0,205350.0,347977.0,407447.0,307706.0,347348.0,471410.0,474068.0,450946.0,331137.0,252485.0,260950.0,257273.0,240214.0,229113.0,226059.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,12,Acre,1201,Vale do Juruá,12002,70239.97,86287.43,72047.93,67618.97,63140.79,75266.28,77205.26,82405.17,80827.44,80196.08,86733.51,85634.17,82359.16,67881.32,67709.1,71828.75,61583.18,39921.41,29460.44,32486.5,49855.68,65378.369999999995,54867.84,45199.17,74642.09,72401.17,65338.0,75614.0,87427.0,91305.0,93975.0,89603.0,106020.0,165425.0,117161.0,153032.0,160548.0,158989.0,156803.0,206183.0,213139.0,255751.0,229427.0,189950.0,175255.0,168387.0,144357.0,139239.0,141293.0,0.0,
