nome,fonte,unidade,codigo_brasil,brasil,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,876340.66,824642.79,856802.42,283617.06,306565.49,394334.43,308129.01,313164.99,192081.49,201957.33,301919.49,288352.74,168712.48,83249.64,92573.23,102718.08,89372.84,57671.36,99754.53,42812.24,174281.88,75063.38,94569.59,83493.02,80908.05,74155.32,120417.01,114241.54,279725.14,338930.16,358630.73,405444.15,265911.1,147023.07,185971.21,134168.72,286116.63,378386.77,375439.4,381756.8,378228.19,435226.14,572344.36,569161.27,516143.96,593915.93,847830.86,1234832.09,1110672.98,1320037.62,0.0
Produção - arroz - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,10896426.37,13432274.26,11715059.32,4220228.61,4492175.39,4897134.38,5996080.38,4686498.27,5661246.18,5273922.45,5541170.14,6054094.18,6148638.64,4242418.25,5155869.2,4063038.96,3248245.21,4544564.24,3721727.28,3858443.51,5156838.28,2978935.99,2260544.69,2263517.21,2588293.28,3309616.89,2586648.39,2751830.47,3174734.24,4302557.48,5236214.52,3160042.47,2556105.86,2616662.97,3555979.36,3400443.24,6241717.36,5437592.94,5380368.39,6002619.2,6171251.65,5940571.29,5535630.12,5970446.17,5090034.77,4924813.79,6138232.08,8934009.26,6676047.98,7260417.43,0.0
Produção - banana - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2343368.97,2277232.6,2890300.17,3365853.31,2614196.36,2648932.71,2718909.17,2728176.69,2800399.41,2823248.69,3278972.47,3193780.09,4223581.82,4097232.04,3609322.7,3413883.9,3651328.21,3264042.96,2487408.06,2276139.07,4428967.95,3314466.44,2328540.88,2418917.92,2630069.13,2298635.67,2343850.09,3803300.86,4010846.94,3728747.04,3513793.89,3389810.4,3589217.74,1665746.65,1635567.06,1544157.47,1725150.83,4038454.09,3760124.55,4068781.05,4115924.77,3981564.14,5153189.28,4852476.5,4067697.61,4239559.17,4534978.57,4665151.2,5214550.19,5645772.54,0.0
Produção - batata-inglesa - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,5178387.46,3383439.25,4807700.11,2420554.08,2542272.66,2115434.34,3263786.19,3128884.92,1959505.98,3803861.08,2524958.84,2119098.59,3731878.91,2508961.87,1867155.93,2601609.26,4574436.6,1997035.99,2045982.02,1736335.4,5046821.5,2827455.29,1425570.14,1930807.46,2639801.68,1861031.03,1829083.03,3142675.41,2761467.04,2654446.77,2657488.39,2703725.62,2494327.52,1167361.24,1170787.49,1308822.27,2807497.94,2153844.51,2006297.66,3067462.21,2386935.72,2882192.75,3730320.91,1823026.26,1859277.21,3064110.28,2882254.41,2559864.61,2929405.61,3340462.18,0.0
Produção - cacau - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1809706.66,2630023.66,3304025.68,5376368.34,5346321.29,5295319.22,3276856.67,3040822.19,2454860.35,4468819.6,5183161.7,5957162.99,4220874.98,3545960.22,5933873.57,1826180.28,677936.99,894997.71,670248.91,649418.46,811845.32,434889.83,340176.3,431088.66,515162.03,357606.2,299620.44,345502.02,803340.63,593140.8,594143.51,434468.97,411171.03,406050.23,425570.77,528537.16,560928.6,1175077.07,1055547.25,965846.48,1172578.34,1510372.09,1273337.06,1031971.4,1269122.53,1412689.42,1703885.29,1854538.63,1767967.24,1894538.55,0.0
Produção - café - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,13982954.91,14413760.82,6584162.61,16690605.37,17192987.07,16831741.22,12629358.03,18666320.0,9095794.43,16272095.17,16351527.83,32872436.51,24242095.11,18888532.46,14803864.92,12707412.21,8276531.36,8751581.46,7943666.28,10786571.95,19506496.63,8249915.5,7929901.18,9561944.54,10341196.41,10781083.89,9705746.47,5937788.65,8653640.81,7425452.01,11401450.3,9765525.88,12326250.43,4619087.73,5418694.91,4216813.53,5280289.85,14982675.24,14292588.96,10199424.74,11569712.35,10887454.97,13574124.25,11348903.66,13248084.79,9919142.84,14401729.34,16258882.47,22328586.28,18002586.74,0.0
Produção - cana-de-açúcar - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,8262487.47,9371618.98,10554513.15,11223100.71,12281478.39,13550595.05,16202295.9,16490270.7,19446359.98,22358440.77,22996289.09,23662339.94,16721716.49,23920108.21,23106042.09,27291933.54,20212880.5,18768524.53,23997105.56,18091059.82,21308555.98,14231301.92,14836063.36,15824847.47,15606119.2,11662984.37,15017282.41,18113472.55,21923840.41,20461479.49,18775702.21,18913608.3,23378957.92,10919552.01,10683719.99,12052053.11,28318209.6,36212017.8,34683170.94,34166866.27,31077418.27,29922059.77,32733226.53,32959399.63,30466035.57,30687881.68,31952441.48,35136669.65,40402955.57,41691381.29,0.0
Produção - casulo de bicho-da-seda - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,115363.4,162798.11,179613.25,146336.92,151160.02,165876.98,168474.39,142249.28,144908.61,120998.6,151955.81,161128.45,159295.01,173882.38,183751.04,300417.41,205910.88,230801.48,160457.94,237721.12,204858.71,120427.65,116531.37,104947.86,91104.52,73920.72,65118.25,81391.25,83131.16,76698.61,66765.67,65646.92,63077.1,60926.78,43020.21,35985.72,25933.0,26423.94,25193.65,27702.33,30427.06,33954.25,30572.86,32252.35,33295.7,33147.44,29335.0,21544.55,20512.97,20950.21,0.0
Produção - cebola - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,403776.38,483770.11,690887.6,724611.25,1289580.01,1283312.83,1353678.17,847313.11,1308005.91,1283910.68,846196.8,1284174.66,1040861.5,726991.61,1219330.43,646768.42,1245136.21,825219.68,1511610.92,1015563.0,1568337.74,973108.03,490101.08,780115.71,667372.61,709933.95,821851.01,868740.33,924069.39,845821.65,928564.42,708479.9,914878.79,443275.97,498751.82,518695.85,1335946.89,831247.05,1010901.41,1038273.67,988891.46,1244393.91,1175328.09,870303.26,960135.05,1253196.33,1349288.83,1161017.91,1760064.12,1664178.07,0.0
Produção - feijão - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,15318449.0,13426352.73,15147909.99,8196029.98,5432539.49,6344090.99,9674332.95,11533909.29,7129190.57,5818580.85,9626991.03,7434181.36,7269968.68,5422348.61,7326894.34,6928462.93,5265608.29,5633745.02,6270428.98,5858016.38,10689949.21,4524866.65,3662360.84,3988936.83,5050614.1,4291519.02,3744811.47,4034664.35,5901920.03,6675239.9,4763383.12,5000122.76,4710048.09,2221206.02,3705438.44,2171138.04,4943214.0,4753484.87,5317166.15,5525747.39,3816850.26,4136008.72,6187904.72,4260824.37,3273015.53,4199700.8,5689165.98,5625948.59,5321177.58,4788239.65,0.0
