nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1,Norte,12,Acre,361.24,198.57,23.31,7.76,7.3,10.54,4.73,4.56,3.63,4.05,3.14,2.06,1.54,1.18,10.06,6.86,4.19,3.79,4.74,2.25,3.16,2.27,2.58,2.4,2.76,2.55,2.4,47.56,89.29,123.22,112.81,130.9,300.53,111.03,205.5,257.5,500.0,864.12,1285.47,1008.77,1186.92,1063.66,817.73,548.89,452.68,231.49,213.72,200.25,179.3,170.09,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,27,Alagoas,1143.44,1265.78,779.86,304.89,187.66,147.26,88.43,211.65,111.08,48.29,56.41,21.92,35.84,181.78,1018.75,1107.51,12.09,311.97,227.96,336.32,272.8,137.57,90.89,3.96,3.48,1.71,8.68,11.94,19.0,16.66,13.92,18.71,45.01,21.75,49.18,48.46,152.0,180.95,130.0,460.63,489.08,1421.64,4415.31,4288.31,5126.38,7771.79,8591.71,12697.62,8379.9,10589.98,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1,Norte,16,Amapá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1,Norte,13,Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.2,1.15,1.06,1.0,0.92,1.9,1.67,0.0,1.44,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,29,Bahia,10994.83,8419.74,11563.13,4709.29,2244.5,2646.65,2733.56,2093.96,2285.08,1887.59,2644.78,3047.68,1858.91,2272.57,2366.18,2293.99,2441.58,1972.46,1453.12,1019.61,1931.26,1023.66,1110.41,1231.38,954.63,1096.41,1228.35,1272.72,3647.58,6324.22,8445.22,6759.18,6232.89,2592.44,2849.12,2745.49,7319.0,7173.27,4697.15,3720.91,5049.42,5028.17,6494.87,7207.19,7040.07,8375.75,7622.8,7551.04,7686.47,8213.67,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,23,Ceará,10124.5,5769.28,3141.19,1362.61,975.1,709.15,303.15,215.04,435.41,56.63,401.61,696.09,650.52,316.56,591.1,353.38,647.78,542.83,207.48,182.57,574.37,646.94,305.87,333.01,368.22,884.36,749.06,428.77,1039.18,1004.09,1308.9,1234.17,1686.63,396.04,1055.47,709.84,631.0,7546.23,841.6,994.46,1425.96,602.81,404.74,2245.76,1065.77,765.26,1295.01,1116.14,1341.07,1497.26,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,5,Centro-Oeste,53,Distrito Federal,51.2,67.96,57.91,8.53,8.98,4.85,5.55,1.98,5.63,3.51,0.0,0.0,0.0,0.0,0.0,0.0,1.18,2.45,0.0,0.0,70.28,41.94,0.0,0.0,0.0,0.0,0.0,128.48,1533.09,446.25,35.54,0.0,205.2,0.0,2.07,1.96,0.0,12.0,14.54,46.94,35.41,26.75,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,32,Espírito Santo,1186.81,987.03,876.84,320.16,378.49,351.24,277.54,241.53,342.53,290.56,273.9,231.56,265.44,284.72,294.58,571.02,60.45,77.81,18.97,27.78,10.97,6.2,14.1,18.64,1.88,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34,4.68,2.81,5.28,4.67,4.3,1.64,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,5,Centro-Oeste,52,Goiás,6182.22,4224.19,1787.57,1047.37,1884.75,3508.12,1066.7,275.52,242.31,218.2,81.32,69.41,134.4,90.97,84.36,0.0,13.01,109.27,116.53,0.0,74.11,141.63,101.51,117.25,76.54,15.29,0.0,132.15,376.15,239.78,531.59,12381.98,6054.18,2108.32,1712.33,1159.74,1770.0,2304.32,1063.1,764.54,0.0,123.44,156.69,83.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,21,Maranhão,0.0,3.19,7.52,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.68,70.29,91.58,191.63,330.84,93.99,147.06,7455.47,21.56,148.0,34.16,18.82,180.6,62.7,144.71,166.85,193.97,287.54,203.37,246.98,249.73,233.05,182.75,0.0
