nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,27,Alagoas,2702,Agreste Alagoano,810.65,1037.48,575.3,228.61,132.65,109.32,73.67,200.49,97.52,43.04,35.54,16.4,10.05,17.09,11.57,1.56,8.6,15.18,10.11,15.16,7.14,5.17,5.03,3.96,3.48,1.71,5.38,8.26,11.4,10.0,9.28,11.51,27.8,13.74,36.75,35.73,81.0,106.17,75.26,392.21,329.73,950.5,2257.76,2633.08,3548.18,5578.79,5845.48,8356.32,5074.8,7168.6,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,1597.1,1958.11,1178.43,393.34,615.52,522.99,510.49,93.11,459.42,991.97,989.98,473.84,1012.64,692.32,925.97,1041.85,1699.55,609.01,702.49,668.87,456.76,164.19,200.36,378.84,83.04,176.79,240.05,119.57,414.15,900.83,1520.59,2441.01,832.72,578.58,1135.17,312.34,128.0,913.05,230.92,1140.84,494.25,328.5,205.54,909.31,609.02,488.83,1284.99,389.31,1963.63,1868.51,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,26,Pernambuco,2603,Agreste Pernambucano,128.0,122.11,48.88,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,4.5,2.53,1.66,1.53,7.64,4.45,5.35,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,24,Rio Grande do Norte,2403,Agreste Potiguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,28,Sergipe,2802,Agreste Sergipano,1591.42,1658.68,656.52,805.57,626.93,857.49,418.46,766.39,948.32,467.33,1401.54,1307.5,856.07,801.23,483.02,686.76,909.16,661.41,857.08,721.16,1465.5,494.32,696.64,535.76,572.78,510.81,530.77,618.29,1259.53,1418.68,1231.6,917.71,954.54,661.0,324.57,331.92,1527.0,1209.39,1122.11,1715.24,1668.65,1738.48,564.6,825.47,1230.94,660.74,707.13,726.81,978.59,1325.1,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,35,São Paulo,3505,Araraquara,11649.09,10341.21,15485.74,4839.63,5591.55,7265.5,6119.44,4318.44,3979.49,12260.25,17705.61,15477.04,12701.6,5786.3,2446.74,2672.56,5172.84,5888.86,13786.83,5440.78,22739.26,6519.8,7141.29,6835.05,3210.6,2332.81,6554.83,8971.54,17785.43,17954.94,16732.72,24303.68,14926.91,7598.87,10234.11,4534.69,13383.0,16101.58,18044.44,27674.49,24527.13,36650.11,51999.83,45707.2,29366.29,31262.39,47180.18,65571.49,75369.18,82210.55,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,35,São Paulo,3503,Araçatuba,39337.54,41352.62,49241.19,18904.91,14355.6,13846.72,14175.15,20057.63,13157.08,15775.28,24556.8,41702.12,18038.74,7358.95,6461.32,6640.97,7239.15,1803.18,3256.48,2113.46,6891.84,2300.45,3405.62,2437.05,2067.98,2521.22,4866.26,2343.56,4635.39,1623.48,3158.63,9716.56,8028.1,5436.21,4695.45,82.74,19584.0,26210.64,20382.75,13337.64,8375.62,14582.68,15199.86,10687.77,12571.14,20794.76,20322.75,50436.2,33657.17,55574.74,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,35,São Paulo,3510,Assis,5217.99,6329.41,3517.24,1161.94,1456.3,8294.59,9358.35,7307.76,8185.56,7962.42,15735.38,11521.88,5432.56,5601.74,3290.72,6611.3,4915.19,3942.93,5157.14,4408.59,1477.74,4306.96,7352.81,2594.83,4827.9,3863.29,3924.18,2213.5,8873.7,10784.94,14788.73,8886.6,8012.22,4382.02,6318.22,4503.86,14034.0,17643.32,26370.45,22983.05,23070.95,48206.39,45345.77,35677.9,36412.26,37771.64,46208.65,65093.46,58148.9,61024.89,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,33,Rio de Janeiro,3304,Baixadas,112.35,128.49,97.01,63.36,27.51,26.18,39.74,186.86,170.86,0.0,0.0,0.0,3.35,3.37,14.58,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1,Norte,15,Pará,1501,Baixo Amazonas,34.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51,0.0,0.0,0.0,0.0,27.12,17.1,14.99,9.27,10.07,9.26,8.59,8.28,4.9,98.0,34.16,44.47,54.89,67.87,108.36,28.55,23.25,24.6,18.54,17.41,20.54,11.18,31.48,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,35,São Paulo,3504,Bauru,24064.02,27962.19,18475.05,6272.8,12620.5,16217.5,9663.27,13580.04,5563.78,6669.21,7589.78,9999.6,6073.0,2200.69,2610.32,2652.97,1348.51,1460.28,785.06,373.7,2198.77,2056.16,2416.19,2035.65,742.65,1199.34,2346.69,1644.95,3377.75,5598.1,7403.59,17246.75,6575.77,2993.63,3333.04,901.75,6372.0,20264.3,21907.69,27142.26,18290.04,19973.0,27446.0,45823.48,38842.55,47129.01,119038.3,150333.44,109529.39,177741.86,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,25,Paraíba,2502,Borborema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.94,2.16,0.0,0.0,0.0,0.0,3.8,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,35,São Paulo,3507,Campinas,665.59,985.44,1469.47,394.64,147.24,47.03,63.45,44.24,265.71,50.21,221.11,68.98,55.96,90.64,3.56,8.67,16.55,5.77,0.0,83.69,116.84,0.0,0.0,16.21,4.84,5.73,0.0,252.37,0.0,0.0,0.0,83.43,202.56,137.35,73.5,0.0,36.0,0.0,0.0,3956.34,3982.0,3439.25,0.0,234.98,3756.07,849.55,421.64,6556.78,2182.47,4790.66,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,31,Minas Gerais,3111,Campo das Vertentes,396.77,307.95,210.55,77.86,109.25,103.02,74.09,73.4,11.75,9.92,6.59,5.59,1.81,4.71,4.05,7.78,20.38,14.25,8.79,6.62,15.43,10.94,3.48,3.13,8.04,6.68,2.32,3.93,3.8,5.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,757.03,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2.25,2.11,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,32,Espírito Santo,3203,Central Espírito-santense,441.58,345.64,297.04,126.46,188.59,208.96,122.37,88.56,142.75,146.2,115.37,125.34,110.41,229.95,245.18,428.86,39.78,53.11,9.47,10.39,6.28,3.38,8.9,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34,4.68,2.81,5.28,4.67,4.3,1.64,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,31,Minas Gerais,3106,Central Mineira,324.25,283.55,100.01,18.61,9.18,9.45,8.07,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,2,Nordeste,24,Rio Grande do Norte,2402,Central Potiguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,1,Norte,13,Amazonas,1303,Centro Amazonense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Produção - amendoim - valor,Instituto Brasileiro de Geografia e Estatística,Mil Reais,0,brasil,3,Sudeste,33,Rio de Janeiro,3303,Centro Fluminense,10.67,9.56,10.52,5.95,6.73,5.33,10.73,3.77,7.51,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
